go_gc_duration_seconds&catalogue:80&catalogue&0,0.00028381900000000004,0.00028381900000000004,0.00027375,0.00027375,0.00027375,0.00027375,0.00027375,0.00027375,0.00028359,0.00028359,0.00028359,0.00026896
go_gc_duration_seconds&catalogue:80&catalogue&0.25,0.000295999,0.000301401,0.00030619,0.00031035000000000004,0.00031261,0.00031631000000000004,0.00032245,0.00032869,0.000331921,0.000330611,0.00033038,0.000325941
go_gc_duration_seconds&catalogue:80&catalogue&0.5,0.00031539100000000004,0.00032233900000000005,0.00032479000000000004,0.000330191,0.00033388,0.00033888,0.00034140900000000004,0.00035449900000000004,0.00036023100000000003,0.000354122,0.000353578,0.00034424
go_gc_duration_seconds&catalogue:80&catalogue&0.75,0.00033378000000000005,0.00033378000000000005,0.00033869900000000003,0.00036536,0.00037654,0.000382899,0.00038682100000000003,0.00039939900000000004,0.00040091000000000004,0.00039759,0.00039759,0.00039186
go_gc_duration_seconds&catalogue:80&catalogue&1,0.000480048,0.000480048,0.000480048,0.000790378,0.000790378,0.00087498,0.00087498,0.00087498,0.00087498,0.00087498,0.00087498,0.0006036990000000001
go_gc_duration_seconds&payment:80&payment&0,0.00028687900000000003,0.000279502,0.000279502,0.000279502,0.000279502,0.000279502,0.000279502,0.00028540900000000003,0.00028540900000000003,0.00028540900000000003,0.00028540900000000003,0.00028540900000000003
go_gc_duration_seconds&payment:80&payment&0.25,0.00030872,0.00030872,0.00030898000000000004,0.000306591,0.000308199,0.00030666900000000003,0.000305849,0.00030541000000000005,0.00030679000000000004,0.00030661,0.00030669000000000003,0.000305751
go_gc_duration_seconds&payment:80&payment&0.5,0.000318559,0.00031988000000000003,0.00032178,0.00032025,0.000321421,0.000320919,0.00031988000000000003,0.000320919,0.00032076,0.00032076,0.00032014200000000004,0.00031913000000000004
go_gc_duration_seconds&payment:80&payment&0.75,0.0003392,0.000333261,0.000334779,0.000333261,0.000334098,0.00033332,0.00033240900000000004,0.00033222000000000004,0.000332711,0.000332711,0.00033186,0.00033154100000000003
go_gc_duration_seconds&payment:80&payment&1,0.0004946390000000001,0.000496611,0.000512917,0.000512917,0.000512917,0.000512917,0.000512917,0.000512917,0.000490021,0.0005583200000000001,0.0005583200000000001,0.0005583200000000001
go_gc_duration_seconds&user:80&user&0,0.000276542,0.000276542,0.000276542,0.000276542,0.000276542,0.000276542,0.000277319,0.00027306,0.00027306,0.00027306,0.00027306,0.00027306
go_gc_duration_seconds&user:80&user&0.25,0.00031427100000000003,0.00033492,0.00033492,0.00033492,0.00033492,0.00033385900000000004,0.000330962,0.00032735100000000003,0.00032367100000000004,0.000319661,0.00031847,0.000317341
go_gc_duration_seconds&user:80&user&0.5,0.00035129100000000005,0.000368979,0.00035395,0.00035188,0.00035395,0.000351681,0.00034999,0.00034783000000000004,0.00034271000000000003,0.00034076900000000004,0.000340361,0.000340361
go_gc_duration_seconds&user:80&user&0.75,0.00040070000000000004,0.00041157000000000005,0.00040361000000000005,0.00040070000000000004,0.000400281,0.00040061000000000003,0.00039954000000000004,0.00039168000000000004,0.000387739,0.00038070000000000004,0.00037869000000000005,0.00037869000000000005
go_gc_duration_seconds&user:80&user&1,0.0007056300000000001,0.0007056300000000001,0.0007056300000000001,0.0007056300000000001,0.0007056300000000001,0.00070772,0.0007991000000000001,0.0007991000000000001,0.0007991000000000001,0.0007991000000000001,0.0007991000000000001,0.0007991000000000001
go_goroutines&catalogue:80&catalogue,10,10,10,10,10,10,11,11,10,10,10,10
go_goroutines&payment:80&payment,11,11,11,11,11,11,12,12,11,11,12,11
go_goroutines&user:80&user,12,12,12,15,14,12,12,13,14,15,12,13
go_memstats_alloc_bytes&catalogue:80&catalogue,2961184,2979416,3063392,3009576,3073816,3096312,4059760,4035552,2108128,1280872,2200736,2195104
go_memstats_alloc_bytes&payment:80&payment,3669304,3696936,3728472,3752952,3755720,3765480,3761760,3775544,3766920,3779384,3770568,3776704
go_memstats_alloc_bytes&user:80&user,2081824,2168736,3109296,3117512,3117320,4002472,4014096,3072384,2178280,3157032,4032712,2175096
go_memstats_buck_hash_sys_bytes&catalogue:80&catalogue,1446950,1450350,1452822,1455070,1457158,1459110,1459830,1461038,1462190,1462918,1465238,1465982
go_memstats_buck_hash_sys_bytes&payment:80&payment,1448186,1450954,1452330,1454610,1456018,1457370,1458466,1459434,1460834,1462130,1462810,1464274
go_memstats_buck_hash_sys_bytes&user:80&user,1447136,1450504,1451904,1454384,1455920,1457792,1459520,1461128,1462640,1463888,1463888,1465896
go_memstats_frees_total&catalogue:80&catalogue,200831,448544,696065,944342,1191910,1439850,1686174,1934714,2185780,2434959,2681579,2929539
go_memstats_frees_total&payment:80&payment,132309,299449,466545,633684,800822,967969,1135023,1302076,1469328,1636466,1803557,1970552
go_memstats_frees_total&user:80&user,184775,357889,529967,703256,876718,1050197,1223405,1397970,1571947,1743828,1916576,2092342
go_memstats_gc_sys_bytes&catalogue:80&catalogue,524288,524288,524288,557056,557056,557056,557056,557056,557056,557056,557056,557056
go_memstats_gc_sys_bytes&payment:80&payment,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288
go_memstats_gc_sys_bytes&user:80&user,589824,589824,589824,589824,589824,589824,589824,589824,589824,589824,589824,589824
go_memstats_heap_alloc_bytes&catalogue:80&catalogue,2961184,2979416,3063392,3009576,3073816,3096312,4059760,4035552,2108128,1280872,2200736,2195104
go_memstats_heap_alloc_bytes&payment:80&payment,3669304,3696936,3728472,3752952,3755720,3765480,3761760,3775544,3766920,3779384,3770568,3776704
go_memstats_heap_alloc_bytes&user:80&user,2081824,2168736,3109296,3117512,3117320,4002472,4014096,3072384,2178280,3157032,4032712,2175096
go_memstats_heap_idle_bytes&catalogue:80&catalogue,2531328,2408448,2310144,3391488,3301376,3309568,2932736,2932736,4186112,5496832,4063232,4071424
go_memstats_heap_idle_bytes&payment:80&payment,1966080,1867776,1785856,1736704,1703936,1695744,1728512,1728512,1794048,1712128,1736704,1769472
go_memstats_heap_idle_bytes&user:80&user,5193728,4956160,4161536,4161536,4210688,3694592,3670016,4087808,4988928,4046848,3596288,4964352
go_memstats_heap_inuse_bytes&catalogue:80&catalogue,3694592,3751936,3817472,3784704,3874816,3866624,4767744,4767744,2957312,2170880,3080192,3072000
go_memstats_heap_inuse_bytes&payment:80&payment,4259840,4292608,4308992,4325376,4358144,4366336,4366336,4366336,4366336,4382720,4358144,4358144
go_memstats_heap_inuse_bytes&user:80&user,3031040,3170304,3997696,3964928,3915776,4890624,4915200,3973120,3072000,4014080,4988928,3096576
go_memstats_heap_objects&catalogue:80&catalogue,13993,14067,14481,14212,14577,14637,16539,15907,12717,11598,13118,13158
go_memstats_heap_objects&payment:80&payment,13716,13812,13938,14018,14075,14049,14036,14172,14090,14177,14114,14176
go_memstats_heap_objects&user:80&user,12130,12509,13891,13758,13758,14182,14266,12944,12513,13895,14975,12473
go_memstats_heap_released_bytes&catalogue:80&catalogue,98304,90112,0,0,0,0,0,0,0,0,0,0
go_memstats_heap_released_bytes&payment:80&payment,73728,49152,0,0,0,0,0,0,0,0,0,0
go_memstats_heap_sys_bytes&catalogue:80&catalogue,6225920,6160384,6127616,7176192,7176192,7176192,7700480,7700480,7143424,7667712,7143424,7143424
go_memstats_heap_sys_bytes&payment:80&payment,6225920,6160384,6094848,6062080,6062080,6062080,6094848,6094848,6160384,6094848,6094848,6127616
go_memstats_heap_sys_bytes&user:80&user,8224768,8126464,8159232,8126464,8126464,8585216,8585216,8060928,8060928,8060928,8585216,8060928
go_memstats_last_gc_time_seconds&catalogue:80&catalogue,1670929597.291135,1670930197.2908614,1670930797.2904987,1670931397.2905555,1670931997.2900443,1670932597.2904267,1670933207.2897127,1670933807.2900395,1670934402.289556,1670935002.2902958,1670935602.2889307,1670936202.2887561
go_memstats_last_gc_time_seconds&payment:80&payment,1670929591.400588,1670930191.4011602,1670930791.400175,1670931391.4003978,1670931991.400605,1670932591.4007318,1670933191.3999531,1670933791.4000325,1670934391.3993351,1670934991.3999054,1670935591.3991485,1670936191.3987312
go_memstats_last_gc_time_seconds&user:80&user,1670929602.055522,1670930202.0549924,1670930797.0554564,1670931392.0564177,1670931997.0549426,1670932607.0547788,1670933207.0548646,1670933797.055611,1670934402.0546024,1670934997.0545173,1670935607.054787,1670936202.0546057
go_memstats_lookups_total&catalogue:80&catalogue,834,1794,2817,3869,4904,5978,7069,8109,9161,10182,11229,12252
go_memstats_lookups_total&payment:80&payment,782,1741,2701,3661,4621,5581,6542,7501,8461,9422,10382,11341
go_memstats_lookups_total&user:80&user,1740,2909,4046,5156,6277,7425,8557,9665,10806,11941,13088,14219
go_memstats_mallocs_total&catalogue:80&catalogue,214824,462611,710546,958554,1206487,1454487,1702713,1950621,2198497,2446557,2694697,2942697
go_memstats_mallocs_total&payment:80&payment,146025,313261,480483,647702,814897,982018,1149059,1316248,1483418,1650643,1817671,1984728
go_memstats_mallocs_total&user:80&user,196905,370398,543858,717014,890476,1064379,1237671,1410914,1584460,1757723,1931551,2104815
go_memstats_mcache_inuse_bytes&catalogue:80&catalogue,19200,19200,19200,19200,19200,19200,19200,19200,19200,19200,19200,19200
