
classes&carts:80&cart,8053,8053,8053,8336,8400,8496,8497,8501,8509,8509,8509,8509,8509,8509,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8511,8511,8511,8511,8511,8511,8511,8511,8511,8511,8512

classes&orders:80&orders,8096,8096,8096,8096,8096,8096,8096,8096,8752,8752,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8754,8754,8754,8754,8754,8754,8754,8754,8754,8755

classes&shipping:80&shipping,7430,7430,7430,7430,7430,7430,7430,7431,7814,7814,7814,7814,7814,7814,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7816,7816

classes_loaded&carts:80&cart,8053,8053,8053,8336,8400,8496,8497,8501,8509,8509,8509,8509,8509,8509,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8511,8511,8511,8511,8511,8511,8511,8511,8511,8511,8512

classes_loaded&orders:80&orders,8096,8096,8096,8096,8096,8096,8096,8096,8752,8752,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8753,8754,8754,8754,8754,8754,8754,8754,8754,8754,8755

classes_loaded&shipping:80&shipping,7430,7430,7430,7430,7430,7430,7430,7431,7814,7814,7814,7814,7814,7814,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7816,7816

classes_unloaded&carts:80&cart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

classes_unloaded&orders:80&orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

classes_unloaded&shipping:80&shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gauge_response_carts_customerId_items&carts:80&cart,118,5,14,14,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3

gauge_response_carts_customerId_merge&carts:80&cart,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3

